device,useragent
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; SAMSUNG SM-T285s Build/JLS36C) AppleWebKit/600.16 (KHTML, like Gecko) Chrome/52.0.1080.109 Mobile Safari/602.6"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.1;) AppleWebKit/601.25 (KHTML, like Gecko) Chrome/50.0.1812.105 Safari/537"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; x64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/48.0.3429.288 Safari/600.3 Edge/15.23344"
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/57.7
linux,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/534.50 (KHTML, like Gecko) Chrome/55.0.3399.205 Safari/600"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_4; en-US) Gecko/20130401 Firefox/59.6
firefox,Mozilla/5.0 (U; Linux i565 ; en-US) Gecko/20100101 Firefox/59.8
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_4_6; en-US) Gecko/20100101 Firefox/48.6
windows,Mozilla/5.0 (Windows; U; Windows NT 10.1; x64; en-US) Gecko/20130401 Firefox/54.3
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/50.3
windows,"Mozilla/5.0 (Windows NT 6.3; WOW64; en-US) AppleWebKit/600.23 (KHTML, like Gecko) Chrome/55.0.3754.160 Safari/533"
android,"Mozilla/5.0 (Linux; U; Android 7.0; GT-I9700 Build/KTU84P) AppleWebKit/603.29 (KHTML, like Gecko) Chrome/54.0.2258.211 Mobile Safari/601.2"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_9_5 like Mac OS X) AppleWebKit/600.28 (KHTML, like Gecko) Chrome/47.0.1126.107 Mobile Safari/603.6"
android,"Mozilla/5.0 (Linux; Android 4.3.1; HTC One 801e Build/JLS36C) AppleWebKit/537.32 (KHTML, like Gecko) Chrome/50.0.1444.324 Mobile Safari/537.4"
windows,"Mozilla/5.0 (Windows NT 6.0; Win64; x64; en-US) AppleWebKit/533.36 (KHTML, like Gecko) Chrome/48.0.2403.315 Safari/602.9 Edge/17.17846"
edge,"Mozilla/5.0 (Windows NT 10.3;; en-US) AppleWebKit/535.8 (KHTML, like Gecko) Chrome/54.0.3380.169 Safari/537.3 Edge/8.19621"
firefox,Mozilla/5.0 (U; Linux i672 ) Gecko/20100101 Firefox/58.0
android,"Mozilla/5.0 (Linux; U; Android 4.4; Nexus 5 Build/KOT49H) AppleWebKit/533.34 (KHTML, like Gecko) Chrome/48.0.3739.166 Mobile Safari/533.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_7_0; like Mac OS X) AppleWebKit/602.11 (KHTML, like Gecko) Chrome/54.0.2126.305 Mobile Safari/600.0"
chrome,"Mozilla/5.0 (Linux; Linux i571 ) AppleWebKit/602.20 (KHTML, like Gecko) Chrome/48.0.2657.182 Safari/533"
linux,"Mozilla/5.0 (Linux; U; Linux i575 ; en-US) AppleWebKit/534.5 (KHTML, like Gecko) Chrome/50.0.1189.304 Safari/534"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/537.30 (KHTML, like Gecko) Chrome/47.0.1606.339 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_6_8; like Mac OS X) AppleWebKit/537.14 (KHTML, like Gecko) Chrome/48.0.1579.137 Mobile Safari/535.0"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_0_3) AppleWebKit/602.15 (KHTML, like Gecko) Chrome/55.0.1849.147 Safari/601"
windows,"Mozilla/5.0 (Windows NT 10.2; WOW64; en-US) AppleWebKit/601.50 (KHTML, like Gecko) Chrome/50.0.1754.292 Safari/534.9 Edge/13.64147"
chrome,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/603.43 (KHTML, like Gecko) Chrome/48.0.2934.384 Safari/533"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_0_2; en-US) Gecko/20130401 Firefox/67.0
android,"Mozilla/5.0 (Linux; U; Android 5.0; SAMSUNG SM-G440 Build/LRX22G) AppleWebKit/600.27 (KHTML, like Gecko) Chrome/47.0.2341.134 Mobile Safari/602.2"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4; Elephone P2000 Build/KTU84P) AppleWebKit/535.17 (KHTML, like Gecko) Chrome/55.0.1817.208 Mobile Safari/533.3"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64) AppleWebKit/602.41 (KHTML, like Gecko) Chrome/53.0.2448.323 Safari/603"
linux,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/60.0
android,"Mozilla/5.0 (Android; Android 7.1; LG-H900 Build/NRD90M) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/55.0.2892.385 Mobile Safari/601.1"
android,"Mozilla/5.0 (Linux; U; Android 4.4.1; SAMSUNG SM-T530 Build/KTU84P) AppleWebKit/600.24 (KHTML, like Gecko) Chrome/48.0.3168.259 Mobile Safari/536.6"
mobile,"Mozilla/5.0 (Android; Android 7.0; Pixel C Build/NME91E) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/49.0.2715.106 Mobile Safari/601.7"
chrome,"Mozilla/5.0 (Windows NT 10.2; x64) AppleWebKit/601.32 (KHTML, like Gecko) Chrome/53.0.2808.175 Safari/602"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.18 (KHTML, like Gecko) Chrome/55.0.2541.233 Safari/535"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_6_9) AppleWebKit/536.28 (KHTML, like Gecko) Chrome/53.0.2263.306 Safari/603"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_0_9; en-US) AppleWebKit/536.25 (KHTML, like Gecko) Chrome/48.0.2121.130 Safari/603"
android,"Mozilla/5.0 (Linux; Android 5.0.2; HTC 80:number1-2t Build/JSS15J) AppleWebKit/537.48 (KHTML, like Gecko) Chrome/51.0.2457.362 Mobile Safari/600.4"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 10.1; WOW64; en-US Trident/4.0)
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; Win64; x64) AppleWebKit/534.36 (KHTML, like Gecko) Chrome/51.0.3969.168 Safari/534"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.1;; en-US) Gecko/20130401 Firefox/46.3
windows,"Mozilla/5.0 (Windows; Windows NT 6.1; Win64; x64; en-US) AppleWebKit/537.35 (KHTML, like Gecko) Chrome/48.0.3935.345 Safari/601.4 Edge/17.22156"
android,"Mozilla/5.0 (Android; Android 7.0; Xperia V Build/NDE63X) AppleWebKit/603.11 (KHTML, like Gecko) Chrome/48.0.1981.315 Mobile Safari/603.6"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.1; Trident/7.0)
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/7.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.1;; en-US Trident/4.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_9_5; like Mac OS X) AppleWebKit/601.29 (KHTML, like Gecko) Chrome/52.0.2060.192 Mobile Safari/600.7"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.0;; en-US Trident/5.0)
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_1_7) Gecko/20130401 Firefox/48.3
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/536.19 (KHTML, like Gecko) Chrome/53.0.1983.303 Safari/536.0 Edge/12.50698"
firefox,Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64; en-US) Gecko/20100101 Firefox/62.4
chrome,"Mozilla/5.0 (Linux; U; Linux i656 ) AppleWebKit/601.4 (KHTML, like Gecko) Chrome/47.0.1063.308 Safari/602"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 11_0_2; like Mac OS X) AppleWebKit/601.35 (KHTML, like Gecko) Chrome/52.0.3562.216 Mobile Safari/534.3"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.0; Trident/4.0)
firefox,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/47.6
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/533.11 (KHTML, like Gecko) Chrome/51.0.1357.246 Safari/601.1 Edge/12.93595"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_7_4) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/51.0.1330.145 Safari/603"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_9; en-US) Gecko/20100101 Firefox/49.7
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_2) Gecko/20100101 Firefox/74.2
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_7_2; en-US) AppleWebKit/537.27 (KHTML, like Gecko) Chrome/48.0.1733.119 Safari/535"
chrome,"Mozilla/5.0 (Linux x86_64) AppleWebKit/600.28 (KHTML, like Gecko) Chrome/49.0.1472.249 Safari/603"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.2; Win64; x64 Trident/6.0)
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.1;; en-US Trident/4.0)
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_7) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/49.0.3761.360 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_5_3; like Mac OS X) AppleWebKit/533.19 (KHTML, like Gecko) Chrome/53.0.1595.356 Mobile Safari/537.2"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64) AppleWebKit/535.10 (KHTML, like Gecko) Chrome/52.0.2672.202 Safari/535.9 Edge/9.94516"
chrome,"Mozilla/5.0 (U; Linux i553 x86_64; en-US) AppleWebKit/603.23 (KHTML, like Gecko) Chrome/54.0.3669.240 Safari/536"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_9; en-US) AppleWebKit/533.46 (KHTML, like Gecko) Chrome/49.0.3613.351 Safari/603"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64; en-US) AppleWebKit/602.27 (KHTML, like Gecko) Chrome/49.0.2522.394 Safari/534.7 Edge/10.94450"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2;) AppleWebKit/600.43 (KHTML, like Gecko) Chrome/50.0.2055.218 Safari/603.3 Edge/9.82827"
windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/51.0.3167.126 Safari/536"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/56.4
windows,Mozilla/5.0 (Windows NT 6.1; Win64; x64; en-US) Gecko/20100101 Firefox/50.3
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) Gecko/20100101 Firefox/46.2
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_3) AppleWebKit/537.7 (KHTML, like Gecko) Chrome/48.0.3162.355 Safari/603"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3; x64; en-US Trident/6.0)
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; SM-G925F-ORANGE Build/LMY47X) AppleWebKit/535.44 (KHTML, like Gecko) Chrome/48.0.2688.175 Mobile Safari/600.9"
linux,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/533.46 (KHTML, like Gecko) Chrome/49.0.3628.222 Safari/533"
android,"Mozilla/5.0 (Linux; Android 5.0.2; SM-G900FG Build/KTU84F) AppleWebKit/600.19 (KHTML, like Gecko) Chrome/51.0.2313.354 Mobile Safari/536.1"
edge,"Mozilla/5.0 (Windows NT 10.3;) AppleWebKit/535.36 (KHTML, like Gecko) Chrome/54.0.3967.298 Safari/534.1 Edge/18.94701"
firefox,Mozilla/5.0 (U; Linux i684 x86_64) Gecko/20100101 Firefox/59.8
linux,"Mozilla/5.0 (Linux; Linux i550 x86_64) AppleWebKit/536.50 (KHTML, like Gecko) Chrome/55.0.1062.304 Safari/602"
windows,"Mozilla/5.0 (Windows NT 6.2;; en-US) AppleWebKit/535.48 (KHTML, like Gecko) Chrome/47.0.1426.160 Safari/603.3 Edge/8.88088"
android,"Mozilla/5.0 (Linux; U; Android 4.4.4; SM-N8010 Build/JZO54K) AppleWebKit/537.5 (KHTML, like Gecko) Chrome/48.0.3793.375 Mobile Safari/534.4"
android,"Mozilla/5.0 (Linux; Android 4.3.1; SAMSUNG SM-T245a Build/JLS36C) AppleWebKit/535.33 (KHTML, like Gecko) Chrome/55.0.3510.143 Mobile Safari/536.7"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.1; x64; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.2; WOW64 Trident/5.0)
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_6) AppleWebKit/600.48 (KHTML, like Gecko) Chrome/47.0.1859.400 Safari/602"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.0; Win64; x64; en-US Trident/7.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_9; like Mac OS X) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/48.0.3287.322 Mobile Safari/536.3"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_3_7; en-US) Gecko/20100101 Firefox/62.7
android,"Mozilla/5.0 (Linux; Android 4.4; SM-G900H Build/KOT49H) AppleWebKit/536.4 (KHTML, like Gecko) Chrome/47.0.3230.373 Mobile Safari/602.4"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_4_4 like Mac OS X) AppleWebKit/536.18 (KHTML, like Gecko) Chrome/47.0.2129.221 Mobile Safari/535.6"
mobile,"Mozilla/5.0 (Linux; U; Android 4.3.1; HP Compaq 2310b Build/JLS36C) AppleWebKit/533.28 (KHTML, like Gecko) Chrome/48.0.3253.184 Mobile Safari/537.5"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; Win64; x64 Trident/6.0)
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_2; en-US) AppleWebKit/603.23 (KHTML, like Gecko) Chrome/50.0.2475.299 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_7_1; en-US) AppleWebKit/602.1 (KHTML, like Gecko) Chrome/48.0.2705.357 Safari/600"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/534.21 (KHTML, like Gecko) Chrome/47.0.1881.311 Safari/534"
mobile,"Mozilla/5.0 (Android; Android 7.0; Xperia V Build/NDE63X) AppleWebKit/535.10 (KHTML, like Gecko) Chrome/53.0.2181.140 Mobile Safari/600.7"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.4; x64; en-US) AppleWebKit/602.45 (KHTML, like Gecko) Chrome/55.0.2196.296 Safari/536"
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/57.2
android,"Mozilla/5.0 (Linux; U; Android 7.0; Xperia V Build/NDE63X) AppleWebKit/533.38 (KHTML, like Gecko) Chrome/50.0.2684.269 Mobile Safari/537.4"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 10.0;; en-US Trident/6.0)
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/49.0.1321.350 Safari/601"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.2; WOW64; en-US) Gecko/20100101 Firefox/56.4
windows,Mozilla/5.0 (Windows; Windows NT 10.1; WOW64; en-US) Gecko/20130401 Firefox/53.0
android,"Mozilla/5.0 (Android; Android 4.3.1; SAMSUNG SGH-N085A Build/JSS15J) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/54.0.2116.357 Mobile Safari/602.4"
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20130401 Firefox/51.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2; like Mac OS X) AppleWebKit/537.43 (KHTML, like Gecko) Chrome/53.0.2082.192 Mobile Safari/601.2"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_8_6; en-US) AppleWebKit/533.16 (KHTML, like Gecko) Chrome/54.0.1426.308 Safari/536"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; x64; en-US) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/54.0.3207.287 Safari/535.4 Edge/9.52282"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1; like Mac OS X) AppleWebKit/536.39 (KHTML, like Gecko) Chrome/55.0.1313.313 Mobile Safari/601.1"
windows,Mozilla/5.0 (Windows; Windows NT 10.4;) Gecko/20100101 Firefox/45.6
windows,"Mozilla/5.0 (Windows; Windows NT 10.3;) AppleWebKit/603.45 (KHTML, like Gecko) Chrome/54.0.1590.178 Safari/533"
android,"Mozilla/5.0 (Linux; Android 6.0; SM-G928I Build/MMB29K) AppleWebKit/535.43 (KHTML, like Gecko) Chrome/52.0.1470.142 Mobile Safari/600.7"
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; HTC One 801s Build/JSS15J) AppleWebKit/537.47 (KHTML, like Gecko) Chrome/52.0.3543.315 Mobile Safari/535.7"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_8_1; like Mac OS X) AppleWebKit/603.4 (KHTML, like Gecko) Chrome/51.0.1982.217 Mobile Safari/602.0"
chrome,"Mozilla/5.0 (Linux; U; Linux i585 ; en-US) AppleWebKit/537.12 (KHTML, like Gecko) Chrome/54.0.2088.267 Safari/603"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.3; Win64; x64; en-US) Gecko/20100101 Firefox/51.6
mobile,"Mozilla/5.0 (Linux; U; Android 4.4.4; SAMSUNG SM-G9009D Build/KOT49H) AppleWebKit/603.29 (KHTML, like Gecko) Chrome/55.0.3621.287 Mobile Safari/603.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1_5; like Mac OS X) AppleWebKit/600.15 (KHTML, like Gecko) Chrome/49.0.3867.295 Mobile Safari/535.0"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0)
linux,Mozilla/5.0 (U; Linux i572 ; en-US) Gecko/20100101 Firefox/63.5
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_9_5 like Mac OS X) AppleWebKit/600.2 (KHTML, like Gecko) Chrome/49.0.2692.332 Mobile Safari/603.0"
linux,Mozilla/5.0 (Linux; U; Linux i674 ; en-US) Gecko/20100101 Firefox/63.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_5_1; like Mac OS X) AppleWebKit/601.27 (KHTML, like Gecko) Chrome/52.0.1021.101 Mobile Safari/603.0"
android,"Mozilla/5.0 (Linux; Android 5.0; LG-D335 Build/LRX22G) AppleWebKit/601.3 (KHTML, like Gecko) Chrome/50.0.2816.345 Mobile Safari/533.0"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.3; x64; en-US) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/50.0.1917.290 Safari/601"
firefox,Mozilla/5.0 (Linux; Linux i582 ) Gecko/20100101 Firefox/68.1
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_7_9) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/50.0.3618.146 Safari/600"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_5_2; en-US) AppleWebKit/602.13 (KHTML, like Gecko) Chrome/53.0.1224.128 Safari/535"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_7) Gecko/20100101 Firefox/50.5
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64) AppleWebKit/602.43 (KHTML, like Gecko) Chrome/48.0.3090.186 Safari/602"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_3; en-US) Gecko/20130401 Firefox/65.9
linux,Mozilla/5.0 (Linux i540 x86_64) Gecko/20100101 Firefox/74.0
edge,"Mozilla/5.0 (Windows NT 10.3;; en-US) AppleWebKit/602.35 (KHTML, like Gecko) Chrome/55.0.3937.102 Safari/601.3 Edge/16.63716"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_0_4) Gecko/20100101 Firefox/58.6
mobile,"Mozilla/5.0 (Linux; Android 4.4.4; SAMSUNG GT-I9502V Build/KOT49H) AppleWebKit/602.5 (KHTML, like Gecko) Chrome/53.0.3531.326 Mobile Safari/602.2"
chrome,"Mozilla/5.0 (Linux x86_64) AppleWebKit/536.34 (KHTML, like Gecko) Chrome/52.0.2187.283 Safari/603"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_3; en-US) Gecko/20100101 Firefox/61.8
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; Trident/4.0)
linux,"Mozilla/5.0 (Linux; Linux i544 x86_64) AppleWebKit/533.11 (KHTML, like Gecko) Chrome/47.0.1108.253 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_8; like Mac OS X) AppleWebKit/602.19 (KHTML, like Gecko) Chrome/49.0.1939.192 Mobile Safari/533.9"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.1; x64 Trident/7.0)
linux,Mozilla/5.0 (Linux i542 x86_64; en-US) Gecko/20100101 Firefox/51.2
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_5) Gecko/20100101 Firefox/71.3
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 10.1; WOW64 Trident/4.0)
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2; en-US) AppleWebKit/536.38 (KHTML, like Gecko) Chrome/52.0.1951.184 Safari/603"
mobile,"Mozilla/5.0 (Linux; U; Android 6.0.1; HTC One_M8 Build/MRA58K) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/52.0.1909.282 Mobile Safari/600.2"
mobile,"Mozilla/5.0 (Android; Android 4.4.1; Nexus S 4G Build/GRJ22) AppleWebKit/603.14 (KHTML, like Gecko) Chrome/54.0.3924.124 Mobile Safari/600.8"
firefox,Mozilla/5.0 (Windows; Windows NT 10.4; x64) Gecko/20130401 Firefox/68.4
chrome,"Mozilla/5.0 (Linux i542 x86_64) AppleWebKit/600.8 (KHTML, like Gecko) Chrome/51.0.1545.325 Safari/536"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_4; like Mac OS X) AppleWebKit/534.28 (KHTML, like Gecko) Chrome/47.0.3280.221 Mobile Safari/536.3"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64) AppleWebKit/535.17 (KHTML, like Gecko) Chrome/52.0.2491.368 Safari/534.6 Edge/9.37183"
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; LG-D707 Build/LRX22G) AppleWebKit/603.43 (KHTML, like Gecko) Chrome/53.0.3842.152 Mobile Safari/533.0"
android,"Mozilla/5.0 (Linux; Android 5.0.1; HTC Butterfly S 919s Build/LRX22G) AppleWebKit/602.43 (KHTML, like Gecko) Chrome/52.0.1711.241 Mobile Safari/603.7"
firefox,Mozilla/5.0 (U; Linux i580 ; en-US) Gecko/20100101 Firefox/70.3
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; WOW64; en-US) AppleWebKit/533.44 (KHTML, like Gecko) Chrome/55.0.2165.103 Safari/600.5 Edge/11.45313"
android,"Mozilla/5.0 (Linux; U; Android 5.0; SM-N910A Build/LRX22C) AppleWebKit/603.26 (KHTML, like Gecko) Chrome/51.0.2371.369 Mobile Safari/537.6"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_4_6; like Mac OS X) AppleWebKit/600.11 (KHTML, like Gecko) Chrome/49.0.2019.233 Mobile Safari/603.8"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64; en-US) AppleWebKit/537.35 (KHTML, like Gecko) Chrome/48.0.2562.296 Safari/600.1 Edge/16.90586"
edge,"Mozilla/5.0 (Windows NT 10.1; WOW64) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/55.0.3088.237 Safari/534.4 Edge/14.55619"
