device,useragent
mobile,"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-T555 Build/LRX22G) AppleWebKit/600.23 (KHTML, like Gecko) Chrome/48.0.2643.323 Mobile Safari/534.3"
linux,Mozilla/5.0 (Linux; Linux i585 x86_64; en-US) Gecko/20100101 Firefox/72.7
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_0) AppleWebKit/533.27 (KHTML, like Gecko) Chrome/54.0.3430.367 Safari/601"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64; en-US) AppleWebKit/534.45 (KHTML, like Gecko) Chrome/47.0.1656.266 Safari/534.4 Edge/18.89602"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; WOW64; en-US Trident/4.0)
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; SAMSUNG SM-G420 Build/LRX22G) AppleWebKit/536.23 (KHTML, like Gecko) Chrome/47.0.2385.113 Mobile Safari/600.6"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; x64; en-US) AppleWebKit/601.23 (KHTML, like Gecko) Chrome/48.0.3672.343 Safari/602.6 Edge/18.90885"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; x64 Trident/6.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_3; like Mac OS X) AppleWebKit/601.22 (KHTML, like Gecko) Chrome/54.0.3318.317 Mobile Safari/600.5"
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/600.4 (KHTML, like Gecko) Chrome/51.0.3126.206 Safari/602.7 Edge/8.66942"
android,"Mozilla/5.0 (Linux; U; Android 5.0.1; SM-N910FY Build/LRX22C) AppleWebKit/537.29 (KHTML, like Gecko) Chrome/50.0.3603.186 Mobile Safari/602.9"
chrome,"Mozilla/5.0 (Windows NT 10.4; x64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/48.0.2645.208 Safari/600"
android,"Mozilla/5.0 (Android; Android 4.4; SM-N8000 Build/KVT49L) AppleWebKit/601.31 (KHTML, like Gecko) Chrome/50.0.2957.175 Mobile Safari/535.4"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_0_1; like Mac OS X) AppleWebKit/600.36 (KHTML, like Gecko) Chrome/51.0.1417.195 Mobile Safari/603.8"
linux,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/603.36 (KHTML, like Gecko) Chrome/55.0.1744.160 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.2; WOW64 Trident/7.0)
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; x64; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.2; x64 Trident/5.0)
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64) AppleWebKit/537.39 (KHTML, like Gecko) Chrome/52.0.2866.133 Safari/603"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_2_4) AppleWebKit/537.25 (KHTML, like Gecko) Chrome/54.0.2104.182 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_9_6; en-US) AppleWebKit/600.3 (KHTML, like Gecko) Chrome/54.0.3439.221 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_5; like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/51.0.3220.241 Mobile Safari/537.5"
linux,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/53.0.1209.193 Safari/603"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_6_6) AppleWebKit/533.22 (KHTML, like Gecko) Chrome/55.0.2824.232 Safari/600"
mobile,"Mozilla/5.0 (Android; Android 7.1; Pixel XL Build/NME91E) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/51.0.3154.178 Mobile Safari/534.7"
windows,"Mozilla/5.0 (Windows NT 10.4; Win64; x64; en-US) AppleWebKit/601.50 (KHTML, like Gecko) Chrome/51.0.1043.217 Safari/537"
edge,"Mozilla/5.0 (Windows NT 10.0; x64; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/48.0.1725.142 Safari/533.9 Edge/13.13621"
chrome,"Mozilla/5.0 (Windows NT 6.1;; en-US) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/48.0.2157.365 Safari/601"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.3; x64) AppleWebKit/603.6 (KHTML, like Gecko) Chrome/54.0.3640.241 Safari/536.9 Edge/18.32140"
android,"Mozilla/5.0 (Linux; Android 5.0.2; LG-D728 Build/LRX22G) AppleWebKit/601.7 (KHTML, like Gecko) Chrome/47.0.2679.196 Mobile Safari/536.3"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.3; Win64; x64 Trident/4.0)
linux,"Mozilla/5.0 (U; Linux i584 ) AppleWebKit/603.10 (KHTML, like Gecko) Chrome/52.0.1676.344 Safari/533"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_4_2; like Mac OS X) AppleWebKit/533.37 (KHTML, like Gecko) Chrome/49.0.2012.239 Mobile Safari/603.7"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; x64) AppleWebKit/602.19 (KHTML, like Gecko) Chrome/52.0.2684.150 Safari/536.3 Edge/17.28480"
linux,"Mozilla/5.0 (U; Linux i686 x86_64; en-US) AppleWebKit/600.31 (KHTML, like Gecko) Chrome/52.0.2651.141 Safari/602"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_7) Gecko/20130401 Firefox/48.0
firefox,Mozilla/5.0 (Windows NT 6.2; Win64; x64; en-US) Gecko/20100101 Firefox/50.1
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; WOW64) AppleWebKit/536.49 (KHTML, like Gecko) Chrome/48.0.3919.256 Safari/535.2 Edge/14.48758"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_1; en-US) AppleWebKit/535.31 (KHTML, like Gecko) Chrome/50.0.3573.141 Safari/601"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) Gecko/20100101 Firefox/53.5
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/72.8
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_5_0; like Mac OS X) AppleWebKit/601.31 (KHTML, like Gecko) Chrome/47.0.3601.223 Mobile Safari/602.7"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; x64) AppleWebKit/603.6 (KHTML, like Gecko) Chrome/53.0.2273.206 Safari/535"
chrome,"Mozilla/5.0 (Windows NT 6.1;; en-US) AppleWebKit/603.40 (KHTML, like Gecko) Chrome/51.0.2275.284 Safari/533"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/55.4
linux,"Mozilla/5.0 (Linux i652 ) AppleWebKit/600.41 (KHTML, like Gecko) Chrome/53.0.1766.384 Safari/536"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_6) Gecko/20100101 Firefox/48.1
mobile,"Mozilla/5.0 (Linux; Android 4.4; LG-D954 Build/KOT49I) AppleWebKit/601.37 (KHTML, like Gecko) Chrome/51.0.2728.336 Mobile Safari/534.7"
chrome,"Mozilla/5.0 (Windows NT 6.0;) AppleWebKit/533.45 (KHTML, like Gecko) Chrome/50.0.3400.209 Safari/536"
chrome,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/602.1 (KHTML, like Gecko) Chrome/50.0.1770.367 Safari/600"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_0; like Mac OS X) AppleWebKit/603.46 (KHTML, like Gecko) Chrome/48.0.2844.259 Mobile Safari/600.4"
firefox,Mozilla/5.0 (Windows; Windows NT 10.2; x64; en-US) Gecko/20130401 Firefox/63.8
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_9_0; en-US) Gecko/20100101 Firefox/63.8
linux,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/533.49 (KHTML, like Gecko) Chrome/54.0.3325.309 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2; Win64; x64 Trident/4.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_0; en-US) Gecko/20100101 Firefox/72.0
mobile,"Mozilla/5.0 (Linux; Android 7.0; LG-H910 Build/NRD90C) AppleWebKit/603.50 (KHTML, like Gecko) Chrome/54.0.2925.145 Mobile Safari/600.1"
linux,Mozilla/5.0 (U; Linux i540 x86_64; en-US) Gecko/20130401 Firefox/54.0
windows,Mozilla/5.0 (Windows; Windows NT 10.5; x64) Gecko/20100101 Firefox/51.6
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_1_7 like Mac OS X) AppleWebKit/533.34 (KHTML, like Gecko) Chrome/51.0.2971.397 Mobile Safari/602.5"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; Win64; x64; en-US Trident/7.0)
chrome,"Mozilla/5.0 (U; Linux i674 x86_64) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/47.0.3549.364 Safari/601"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3;; en-US) Gecko/20100101 Firefox/70.0
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64; en-US) AppleWebKit/602.22 (KHTML, like Gecko) Chrome/47.0.1762.197 Safari/603.8 Edge/10.22117"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.3; x64 Trident/6.0)
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.1; x64; en-US) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/49.0.3026.362 Safari/536.5 Edge/9.75956"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.0; Trident/7.0)
android,"Mozilla/5.0 (Android; Android 4.4; Nexus 5 Build/KTU84P) AppleWebKit/600.3 (KHTML, like Gecko) Chrome/51.0.1416.192 Mobile Safari/602.0"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_1_6 like Mac OS X) AppleWebKit/603.48 (KHTML, like Gecko) Chrome/55.0.3854.340 Mobile Safari/602.7"
edge,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/600.7 (KHTML, like Gecko) Chrome/49.0.2654.169 Safari/536.8 Edge/11.27738"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.5; Win64; x64; en-US Trident/4.0)
mobile,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-D928I Build/MDB08I) AppleWebKit/537.18 (KHTML, like Gecko) Chrome/52.0.1309.326 Mobile Safari/600.7"
mobile,"Mozilla/5.0 (Linux; Android 7.0; Pixel XL Build/NME91E) AppleWebKit/602.46 (KHTML, like Gecko) Chrome/47.0.3789.398 Mobile Safari/534.1"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_4_0; en-US) Gecko/20100101 Firefox/50.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_5; like Mac OS X) AppleWebKit/601.38 (KHTML, like Gecko) Chrome/54.0.1777.237 Mobile Safari/603.9"
edge,"Mozilla/5.0 (Windows NT 10.2; WOW64; en-US) AppleWebKit/536.32 (KHTML, like Gecko) Chrome/49.0.3660.385 Safari/536.7 Edge/12.23865"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64; en-US) AppleWebKit/602.45 (KHTML, like Gecko) Chrome/47.0.1018.171 Safari/535.9 Edge/8.60160"
mobile,"Mozilla/5.0 (Android; Android 6.0; HTC OneS Build/MRA58K) AppleWebKit/534.38 (KHTML, like Gecko) Chrome/48.0.3453.169 Mobile Safari/600.8"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.0; x64 Trident/7.0)
edge,"Mozilla/5.0 (Windows NT 10.4; WOW64) AppleWebKit/601.45 (KHTML, like Gecko) Chrome/48.0.1825.274 Safari/537.4 Edge/17.85558"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_9_5) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/49.0.1791.262 Safari/535"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_5) Gecko/20100101 Firefox/69.2
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; x64; en-US) AppleWebKit/601.48 (KHTML, like Gecko) Chrome/54.0.3309.356 Safari/536.3 Edge/16.28453"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_7; en-US) AppleWebKit/602.9 (KHTML, like Gecko) Chrome/51.0.1356.156 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_2; like Mac OS X) AppleWebKit/602.50 (KHTML, like Gecko) Chrome/55.0.3283.210 Mobile Safari/603.3"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.0; WOW64; en-US) AppleWebKit/535.43 (KHTML, like Gecko) Chrome/55.0.2215.167 Safari/600.9 Edge/18.80442"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 10.0;; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1; like Mac OS X) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/55.0.1119.103 Mobile Safari/533.0"
android,"Mozilla/5.0 (Android; Android 5.0; HTC Butterfly S 919 Build/LRX22G) AppleWebKit/603.15 (KHTML, like Gecko) Chrome/50.0.3645.149 Mobile Safari/533.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_6_7; like Mac OS X) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/48.0.2325.189 Mobile Safari/601.9"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/45.5
linux,"Mozilla/5.0 (Linux; U; Linux i666 ; en-US) AppleWebKit/603.48 (KHTML, like Gecko) Chrome/54.0.1659.182 Safari/536"
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/63.6
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Win64; x64; en-US Trident/4.0)
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; HTC One max Build/JLS36C) AppleWebKit/603.2 (KHTML, like Gecko) Chrome/51.0.3830.293 Mobile Safari/536.0"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.5;) AppleWebKit/603.16 (KHTML, like Gecko) Chrome/47.0.2564.170 Safari/603"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_6; en-US) AppleWebKit/600.21 (KHTML, like Gecko) Chrome/54.0.3514.338 Safari/534"
linux,Mozilla/5.0 (Linux; U; Linux i565 ; en-US) Gecko/20100101 Firefox/70.2
mobile,"Mozilla/5.0 (Android; Android 7.1.1; Pixel XL Build/NME91E) AppleWebKit/533.9 (KHTML, like Gecko) Chrome/54.0.3461.394 Mobile Safari/600.6"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.3; x64 Trident/7.0)
android,"Mozilla/5.0 (Linux; U; Android 6.0; Nexus 6X Build/MMB29V) AppleWebKit/601.45 (KHTML, like Gecko) Chrome/55.0.2635.357 Mobile Safari/534.6"
windows,"Mozilla/5.0 (Windows; Windows NT 10.1; WOW64) AppleWebKit/602.7 (KHTML, like Gecko) Chrome/48.0.1706.321 Safari/533"
chrome,"Mozilla/5.0 (U; Linux i650 x86_64; en-US) AppleWebKit/602.7 (KHTML, like Gecko) Chrome/53.0.3528.145 Safari/533"
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; Nexus 6 Build/LMY48B) AppleWebKit/537.34 (KHTML, like Gecko) Chrome/54.0.2419.310 Mobile Safari/601.9"
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/537.15 (KHTML, like Gecko) Chrome/53.0.3877.181 Safari/601"
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/61.6
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20130401 Firefox/73.6
linux,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/600.10 (KHTML, like Gecko) Chrome/54.0.1606.344 Safari/536"
mobile,"Mozilla/5.0 (Linux; Android 4.4.4; LG-E987 Build/KOT49I) AppleWebKit/537.25 (KHTML, like Gecko) Chrome/54.0.2535.101 Mobile Safari/600.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_6_2; like Mac OS X) AppleWebKit/600.35 (KHTML, like Gecko) Chrome/50.0.2512.154 Mobile Safari/535.0"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_6_2; like Mac OS X) AppleWebKit/602.22 (KHTML, like Gecko) Chrome/54.0.3259.254 Mobile Safari/603.7"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_4_1; like Mac OS X) AppleWebKit/600.37 (KHTML, like Gecko) Chrome/50.0.1148.186 Mobile Safari/601.9"
windows,Mozilla/5.0 (Windows NT 10.5; x64; en-US) Gecko/20100101 Firefox/69.9
mobile,"Mozilla/5.0 (Android; Android 5.1.1; Nexus 8 Build/LRX22C) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/47.0.3212.120 Mobile Safari/533.5"
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/71.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2; like Mac OS X) AppleWebKit/536.29 (KHTML, like Gecko) Chrome/52.0.3321.340 Mobile Safari/601.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_7_1; like Mac OS X) AppleWebKit/601.21 (KHTML, like Gecko) Chrome/53.0.1274.165 Mobile Safari/603.7"
edge,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/534.41 (KHTML, like Gecko) Chrome/48.0.2134.134 Safari/537.8 Edge/11.18040"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/602.8 (KHTML, like Gecko) Chrome/47.0.3000.184 Safari/603"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_6_3; en-US) Gecko/20100101 Firefox/49.9
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/600.22 (KHTML, like Gecko) Chrome/50.0.2620.129 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_6; like Mac OS X) AppleWebKit/535.35 (KHTML, like Gecko) Chrome/51.0.3466.374 Mobile Safari/533.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_8_1; like Mac OS X) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/49.0.2928.309 Mobile Safari/534.5"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_7_9; like Mac OS X) AppleWebKit/603.13 (KHTML, like Gecko) Chrome/48.0.1603.251 Mobile Safari/601.7"
mobile,"Mozilla/5.0 (Android; Android 7.0; Pixel XL Build/NME91E) AppleWebKit/533.32 (KHTML, like Gecko) Chrome/55.0.1562.355 Mobile Safari/601.1"
mobile,"Mozilla/5.0 (Linux; Android 7.1.1; LG-H910 Build/NRD90M) AppleWebKit/600.11 (KHTML, like Gecko) Chrome/50.0.2793.379 Mobile Safari/537.8"
linux,Mozilla/5.0 (U; Linux i683 ) Gecko/20100101 Firefox/72.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_0; like Mac OS X) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/54.0.2753.295 Mobile Safari/601.9"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; x64; en-US) AppleWebKit/537.14 (KHTML, like Gecko) Chrome/53.0.1866.292 Safari/534.1 Edge/15.46626"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_5_3 like Mac OS X) AppleWebKit/534.32 (KHTML, like Gecko) Chrome/49.0.2515.187 Mobile Safari/537.5"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1;) AppleWebKit/601.28 (KHTML, like Gecko) Chrome/52.0.2614.367 Safari/536.8 Edge/17.27038"
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; LG-D332 Build/LRX22G) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/48.0.2073.231 Mobile Safari/535.2"
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; Nexus 9 Build/LRX22C) AppleWebKit/533.31 (KHTML, like Gecko) Chrome/51.0.1429.237 Mobile Safari/600.7"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3; x64) Gecko/20100101 Firefox/55.9
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_7; like Mac OS X) AppleWebKit/603.37 (KHTML, like Gecko) Chrome/47.0.2512.216 Mobile Safari/536.8"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; x64 Trident/6.0)
linux,Mozilla/5.0 (Linux i671 x86_64) Gecko/20100101 Firefox/46.9
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.30 (KHTML, like Gecko) Chrome/54.0.1584.385 Safari/533"
android,"Mozilla/5.0 (Linux; U; Android 6.0.1; HTC One801e Build/MRA58K) AppleWebKit/601.42 (KHTML, like Gecko) Chrome/47.0.2358.211 Mobile Safari/603.3"
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/56.8
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_0_6) Gecko/20100101 Firefox/63.2
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.0; x64 Trident/5.0)
chrome,"Mozilla/5.0 (Linux; Linux i555 ; en-US) AppleWebKit/600.13 (KHTML, like Gecko) Chrome/50.0.1288.139 Safari/600"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_4; like Mac OS X) AppleWebKit/537.41 (KHTML, like Gecko) Chrome/54.0.2295.279 Mobile Safari/534.4"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.2; Trident/7.0)
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_6) AppleWebKit/601.48 (KHTML, like Gecko) Chrome/50.0.3980.131 Safari/533"
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/600.14 (KHTML, like Gecko) Chrome/48.0.1788.376 Safari/535"
android,"Mozilla/5.0 (Android; Android 5.1.1; SM-G9258 Build/LMY47X) AppleWebKit/602.2 (KHTML, like Gecko) Chrome/52.0.2978.204 Mobile Safari/600.2"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_9_7; like Mac OS X) AppleWebKit/600.8 (KHTML, like Gecko) Chrome/53.0.2597.117 Mobile Safari/601.8"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.0; WOW64; en-US Trident/4.0)
